tripduration,starttime,start station id,stoptime,start station name,start station latitude,end station id,start station longitude,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1257,26:50.8,3689,47:48.4,W 104 St & Amsterdam Ave,40.79904139,3331,-73.9664948,Riverside Dr & W 104 St,40.8013434,-73.97114574,37827,Customer,1988,2
1923,27:27.3,432,59:31.0,E 7 St & Avenue A,40.72621788,3429,-73.98379855,Hanson Pl & Ashland Pl,40.68506807,-73.9779076,37202,Subscriber,1992,1
1334,27:54.6,3372,50:09.3,E 74 St & 1 Ave,40.7689738,3145,-73.95482273,E 84 St & Park Ave,40.77862688,-73.95772073,36392,Subscriber,1976,1
1743,34:46.6,3349,03:49.7,Grand Army Plaza & Plaza St West,40.6729679,3583,-73.97087984,Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,36053,Customer,1996,1
6822,40:36.6,3295,34:19.2,Central Park W & W 96 St,40.79127,3320,-73.964839,Central Park West & W 100 St,40.79406661,-73.96286845,37751,Customer,1995,2
949,41:31.0,3749,57:20.9,Lexington Ave & E 36 St,40.74757396,499,-73.97880077,Broadway & W 60 St,40.76915505,-73.98191841,36193,Subscriber,1985,2
1567,44:57.6,3348,11:04.8,Coffey St & Conover St,40.677236,3056,-74.015665,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,36622,Subscriber,1997,1
118,45:31.5,403,47:29.9,E 2 St & 2 Ave,40.72502876,301,-73.99069656,E 2 St & Avenue B,40.72217444,-73.98368779,37093,Subscriber,1984,2
323,31:12.2,3799,36:36.2,6 Ave & W 34 St,40.74964,2012,-73.98805,E 27 St & 1 Ave,40.739445,-73.976806,36974,Subscriber,1994,1
499,31:28.0,482,39:47.9,W 15 St & 7 Ave,40.73935542,503,-73.99931783,E 20 St & Park Ave,40.73827428,-73.98751968,36043,Subscriber,1987,0
1931,39:13.9,3571,11:25.0,Bedford Ave & Bergen St,40.676368,127,-73.952918,Barrow St & Hudson St,40.73172428,-74.00674436,36902,Subscriber,1987,1
2770,39:14.2,3113,25:24.3,Greenpoint Ave & Manhattan Ave,40.73026,247,-73.95394,Perry St & Bleecker St,40.73535398,-74.00483091,36392,Subscriber,1991,0
1927,39:19.3,358,11:27.2,Christopher St & Greenwich St,40.73291553,2008,-74.00711384,Little West St & 1 Pl,40.70569254,-74.01677685,36193,Subscriber,1991,2
5046,42:44.6,2012,06:50.8,E 27 St & 1 Ave,40.739445,540,-73.976806,Lexington Ave & E 29 St,40.74311555,-73.98215353,36974,Subscriber,1973,2
1113,46:38.1,3320,05:12.1,Central Park West & W 100 St,40.79406661,3725,-73.96286845,2 Ave & E 72 St,40.76876203,-73.95840794,37751,Subscriber,1993,1
2906,00:49.2,368,49:16.0,Carmine St & 6 Ave,40.73038599,3571,-74.00214988,Bedford Ave & Bergen St,40.676368,-73.952918,36902,Subscriber,1987,1
2687,01:36.2,3718,46:23.9,E 11 St & Avenue B,40.72746421,264,-73.97950418,Maiden Ln & Pearl St,40.70706456,-74.00731853,36147,Subscriber,1985,1
2388,08:41.5,490,48:29.7,8 Ave & W 33 St,40.751551,3290,-73.993934,E 89 St & York Ave,40.7779453,-73.946041,37751,Subscriber,1984,1
1874,09:11.7,3756,40:26.4,White St & Moore St,40.704508,3823,-73.9351,Beaver St & Fayette St,40.70099,-73.93921,37870,Subscriber,1995,1
2246,13:06.3,540,50:32.9,Lexington Ave & E 29 St,40.74311555,3815,-73.98215353,E 51 St & 2 Ave,40.755293,-73.967641,36974,Customer,1994,1
890,13:30.8,3165,28:20.9,Central Park West & W 72 St,40.77579377,466,-73.97620574,W 25 St & 6 Ave,40.74395411,-73.99144871,36622,Subscriber,1988,2
2383,20:13.2,2008,59:56.6,Little West St & 1 Pl,40.70569254,440,-74.01677685,E 45 St & 3 Ave,40.75255434,-73.97282625,36193,Subscriber,1986,1
