tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
717,08:33.5,20:31.2,312,Allen St & Stanton St,40.722055,-73.989111,3739,Perry St & Greenwich Ave,40.735918,-74.000939,47569,Customer,1970,0
704,00:00.4,11:45.3,3739,Perry St & Greenwich Ave,40.735918,-74.000939,400,Pitt St & Stanton St,40.71926081,-73.98178024,47569,Customer,1970,0
706,55:08.3,06:54.7,400,Pitt St & Stanton St,40.71926081,-73.98178024,3078,Broadway & Roebling St,40.70924826,-73.96063149,47569,Customer,1970,0
802,14:40.2,28:02.6,3078,Broadway & Roebling St,40.70924826,-73.96063149,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,47569,Customer,1970,0
582,55:55.8,05:38.7,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,3346,Berkeley Pl & 7 Ave,40.67514684,-73.97523209,47569,Customer,1970,0
335,27:07.5,32:43.2,3346,Berkeley Pl & 7 Ave,40.67514684,-73.97523209,3558,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,47569,Customer,1970,0
839,18:08.4,32:07.6,3558,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,3246,Montague St & Clinton St,40.69428114,-73.99230033,47569,Customer,1970,0
245,07:44.5,11:49.7,3246,Montague St & Clinton St,40.69428114,-73.99230033,2000,Front St & Washington St,40.70255088,-73.98940236,47569,Customer,1970,0
557,46:50.0,56:07.5,2000,Front St & Washington St,40.70255088,-73.98940236,2000,Front St & Washington St,40.70255088,-73.98940236,47569,Customer,1970,0
259,15:57.5,20:16.9,2000,Front St & Washington St,40.70255088,-73.98940236,3728,Pierrepont St & Monroe Pl,40.69535693,-73.99344027,47569,Customer,1970,0
280,27:45.3,32:25.5,3728,Pierrepont St & Monroe Pl,40.69535693,-73.99344027,3246,Montague St & Clinton St,40.69428114,-73.99230033,47569,Customer,1970,0
288,38:11.0,42:59.5,3246,Montague St & Clinton St,40.69428114,-73.99230033,2000,Front St & Washington St,40.70255088,-73.98940236,47569,Customer,1970,0
1848,07:29.2,38:18.1,2000,Front St & Washington St,40.70255088,-73.98940236,3117,Franklin St & Dupont St,40.73564,-73.95866,47569,Customer,1970,0
1428,10:24.2,34:13.0,3117,Franklin St & Dupont St,40.73564,-73.95866,3673,Dean St & Franklin Ave,40.67759207,-73.95563722,47569,Customer,1976,1
652,16:10.1,27:03.0,3673,Dean St & Franklin Ave,40.67759207,-73.95563722,3917,Willoughby St & Ashland Pl,40.69178,-73.97877,47569,Customer,1970,0
1161,48:38.1,08:00.0,3917,Willoughby St & Ashland Pl,40.69178,-73.97877,3092,Berry St & N 8 St,40.7190095,-73.95852515,47569,Customer,1970,0
2209,19:32.7,56:22.3,3092,Berry St & N 8 St,40.7190095,-73.95852515,3668,Leonard St & Nassau Ave,40.72395678,-73.94984365,47569,Customer,1970,0
2149,00:45.0,36:34.0,3668,Leonard St & Nassau Ave,40.72395678,-73.94984365,3312,1 Ave & E 94 St,40.7817212,-73.94594,47569,Customer,1970,0
211,59:35.7,03:07.2,3312,1 Ave & E 94 St,40.7817212,-73.94594,3391,E 106 St & 1 Ave,40.7892529,-73.93956237,47569,Customer,1970,0
